(635, 423)
(372, 399)
(1002, 547)
(69, 428)
(792, 280)
(472, 483)
(1027, 244)
(556, 211)
(147, 381)
(844, 332)
(663, 510)
(757, 438)
(499, 547)
(275, 59)
(50, 219)
(505, 277)
(463, 111)
(978, 335)
(290, 222)
(350, 500)
(490, 413)
(986, 127)
(298, 541)
(982, 272)
(523, 240)
(804, 341)
(62, 286)
(772, 433)
(132, 348)
(415, 164)
(974, 432)
(389, 258)
(750, 314)
(992, 57)
(840, 457)
(328, 396)
(904, 396)
(935, 364)
(790, 331)
(460, 460)
(306, 488)
(770, 147)
(66, 70)
(289, 130)
(974, 404)
(879, 300)
(1029, 51)
(299, 532)
(399, 547)
(735, 144)
(858, 304)
(727, 236)
(746, 387)
(380, 461)
(519, 155)
(858, 54)
(862, 222)
(988, 152)
(79, 62)
(98, 314)
(459, 186)
(981, 283)
(69, 265)
(678, 98)
(802, 486)
(653, 58)
(642, 243)
(303, 144)
(784, 167)
(421, 468)
(667, 59)
(50, 130)
(971, 485)
(685, 269)
(134, 526)
(520, 517)
(348, 63)
(1025, 442)
(933, 82)
(835, 73)
(406, 532)
(644, 422)
(393, 52)
(941, 188)
(392, 531)
(480, 105)
(676, 255)
(359, 166)
(683, 424)
(297, 188)
(107, 57)
(924, 298)
(191, 417)
(786, 503)
(386, 378)
(992, 544)
(238, 52)
(690, 259)
(494, 512)
(399, 536)
(884, 73)
(179, 183)
(1007, 496)
(564, 479)
(675, 267)
(136, 266)
(256, 285)
(972, 105)
(563, 80)
(592, 482)
(778, 322)
(161, 415)
(414, 390)
(111, 301)
(159, 205)
(176, 284)
(413, 545)
(467, 154)
(332, 506)
(664, 260)
(569, 371)
(844, 365)
(316, 190)
(882, 234)
(537, 475)
(90, 423)
(232, 474)
(1028, 268)
(894, 421)
(66, 518)
(429, 490)
(147, 168)
(831, 342)
(384, 99)
(234, 372)
(563, 304)
(678, 128)
(843, 398)
(883, 204)
(321, 208)
(372, 475)
(811, 206)
(894, 210)
(275, 66)
(382, 533)
(982, 188)
(416, 443)
(673, 147)
(353, 145)
(180, 86)
(836, 244)
(733, 377)
(267, 265)
(907, 73)
(117, 103)
(1011, 133)
(583, 334)
(1011, 144)
(278, 545)
(704, 216)
(519, 492)
(397, 56)
(905, 105)
(553, 102)
(723, 522)
(741, 527)
(552, 209)
(821, 550)
(749, 347)
(841, 224)
(536, 122)
(469, 403)
(79, 435)
(542, 497)
(1023, 467)
(882, 404)
(890, 297)
(911, 517)
(178, 273)
(1002, 270)
(533, 343)
(50, 512)
(224, 426)
(354, 407)
(432, 382)
(811, 86)
(112, 333)
(79, 389)
(804, 249)
(561, 469)
(1025, 427)
(867, 416)
(490, 309)
(820, 509)
(441, 377)
(737, 111)
(490, 239)
(283, 247)
(803, 274)
(836, 226)
